League,Player,Position,Tier,Status,Note
NBA,Alonzo Mourning,C,Sneaky Stud,Retired,Shot-blocking specialist
NBA,Chris Webber,PF,Sneaky Stud,Retired,Stat-stuffing forward
NBA,Vince Carter,SG,Stud,Retired,Longevity scoring wing
NBA,Tracy McGrady,SG,Stud,Retired,Peak scoring outlier
NBA,Yao Ming,C,Sneaky Stud,Retired,Efficient scoring big
NBA,Steve Nash,PG,Stud,Retired,Elite assist/efficiency guard
NBA,Dirk Nowitzki,PF,Stud,Retired,Stretch-big scoring archetype
NBA,Manu Ginobili,SG,Sneaky Stud,Retired,Efficient bench-to-star wing
NBA,Tony Parker,PG,Sneaky Stud,Retired,Slashing playmaker
NBA,Paul Pierce,SF,Stud,Retired,Volume scoring wing
NBA,Kevin McHale,PF,Sneaky Stud,Retired,Post-scoring efficiency big
NBA,Robert Parish,C,Role Player,Retired,Longevity rebounding center
NBA,James Worthy,SF,Sneaky Stud,Retired,Efficient complementary scorer
NBA,LeBron James,SF,Stud,Active,Do-everything stat-stuffer
NBA,Stephen Curry,PG,Stud,Active,Revolutionary 3P volume/efficiency
NBA,Kevin Durant,SF,Stud,Active,Elite scoring efficiency at size
NBA,Giannis Antetokounmpo,PF,Stud,Active,Downhill scoring/rebounding big
NBA,Nikola Jokic,C,Stud,Active,Historic stat-stuffing passing center
NBA,Joel Embiid,C,Stud,Active,Efficient high-volume scoring big
NBA,Luka Doncic,PG,Stud,Active,Scoring/playmaking stat-stuffer
NBA,Jayson Tatum,SF,Stud,Active,Volume scoring wing
NBA,Damian Lillard,PG,Stud,Active,Deep-range volume scorer
NBA,James Harden,SG,Stud,Active,High-volume efficient scorer
NBA,Kawhi Leonard,SF,Stud,Active,Two-way efficiency wing
NBA,Anthony Davis,PF,Stud,Active,Stat-stuffing two-way big
NBA,Russell Westbrook,PG,Stud,Active,Triple-double stat-stuffer
NBA,Chris Paul,PG,Stud,Active,Elite assist/steal guard
NBA,Kyrie Irving,PG,Stud,Active,High-efficiency scoring guard
NBA,Jimmy Butler,SF,Stud,Active,Two-way scoring wing
NBA,Devin Booker,SG,Stud,Active,Volume scoring guard
NBA,Trae Young,PG,Stud,Active,Elite assist/scoring guard
NBA,Ja Morant,PG,Stud,Active,Explosive scoring/playmaking guard
NBA,Donovan Mitchell,SG,Stud,Active,Volume scoring guard
NBA,Anthony Edwards,SG,Stud,Active,Athletic scoring wing
NBA,Shai Gilgeous-Alexander,PG,Stud,Active,Efficient scoring guard
NBA,Victor Wembanyama,C,Stud,Active,Rare size/block/shooting combo
NBA,Paolo Banchero,PF,Stud,Active,Scoring forward
NBA,Zion Williamson,PF,Sneaky Stud,Active,Interior efficiency outlier
NBA,Karl-Anthony Towns,C,Stud,Active,Scoring/shooting big
NBA,Bam Adebayo,C,Sneaky Stud,Active,Two-way stat-stuffing big
NBA,Rudy Gobert,C,Sneaky Stud,Active,Elite rebounding/shot-blocking
NBA,Jaylen Brown,SG,Stud,Active,Volume scoring wing
NBA,Bradley Beal,SG,Stud,Active,Volume scoring guard
NBA,Klay Thompson,SG,Stud,Active,Elite 3P specialist
NBA,Draymond Green,PF,Role Player,Active,Playmaking defensive forward
NBA,Paul George,SF,Stud,Active,Two-way scoring wing
NBA,Blake Griffin,PF,Sneaky Stud,Retired,Athletic scoring/rebounding forward
NBA,DeMar DeRozan,SG,Stud,Active,Mid-range volume scorer
NBA,Kemba Walker,PG,Sneaky Stud,Retired,Undersized scoring guard
NBA,John Wall,PG,Sneaky Stud,Retired,Elite assist/speed guard
NBA,Kyle Lowry,PG,Role Player,Retired,Gritty playmaking guard
NBA,Al Horford,C,Role Player,Active,Stretch-big stat-stuffer
NBA,Mike Conley,PG,Role Player,Active,Efficient steady guard
NBA,Jrue Holiday,PG,Sneaky Stud,Active,Two-way guard
NBA,Fred VanVleet,PG,Role Player,Active,Undrafted-to-starter guard
NBA,Domantas Sabonis,C,Stud,Active,Stat-stuffing passing big
NBA,De'Aaron Fox,PG,Stud,Active,Speed-scoring guard
NBA,Zach LaVine,SG,Sneaky Stud,Active,Athletic scoring guard
NBA,Pascal Siakam,PF,Stud,Active,Versatile scoring forward
NBA,Jamal Murray,PG,Sneaky Stud,Active,Clutch scoring guard
NBA,Tyrese Haliburton,PG,Stud,Active,Elite assist guard
NBA,Evan Mobley,PF,Sneaky Stud,Active,Two-way young big
NBA,Franz Wagner,SF,Sneaky Stud,Active,Efficient scoring wing
NBA,Lauri Markkanen,PF,Sneaky Stud,Active,Stretch-big scorer
NBA,Scottie Barnes,SF,Sneaky Stud,Active,Stat-stuffing wing
NBA,Cade Cunningham,PG,Stud,Active,Scoring/playmaking guard
NBA,Jalen Brunson,PG,Stud,Active,Undersized volume scorer
NBA,Nikola Vucevic,C,Sneaky Stud,Active,Stat-stuffing stretch big
NBA,Clint Capela,C,Role Player,Active,Rebounding/lob-finishing big
NBA,Mikal Bridges,SF,Sneaky Stud,Active,3-and-D wing
NBA,Derrick White,PG,Sneaky Stud,Active,Two-way guard
NBA,Marcus Smart,PG,Role Player,Active,Defensive playmaking guard
NBA,OG Anunoby,SF,Sneaky Stud,Active,3-and-D forward
NBA,Herbert Jones,SF,Role Player,Active,Defensive specialist wing
NBA,Jarrett Allen,C,Sneaky Stud,Active,Efficient rebounding big
NBA,Brook Lopez,C,Role Player,Active,Shot-blocking stretch big
NBA,Alex Caruso,PG,Role Player,Active,Undrafted defensive guard
NBA,Josh Hart,SG,Role Player,Active,Rebounding wing
NBA,Aaron Gordon,PF,Sneaky Stud,Active,Athletic finishing forward
NBA,Buddy Hield,SG,Role Player,Active,Volume 3P specialist
NBA,Malcolm Brogdon,PG,Sneaky Stud,Active,Efficient sixth-man guard
NBA,Terry Rozier,PG,Role Player,Active,Scoring guard
NBA,Tyus Jones,PG,Role Player,Active,Elite assist-to-turnover guard
NBA,Jalen Williams,SG,Sneaky Stud,Active,Two-way young wing
NBA,Desmond Bane,SG,Sneaky Stud,Active,Efficient scoring wing
NBA,Jerami Grant,PF,Sneaky Stud,Active,Scoring forward
NBA,Mitchell Robinson,C,Role Player,Active,Rebounding/block specialist
NBA,Nic Claxton,C,Role Player,Active,Shot-blocking big
NBA,Ivica Zubac,C,Role Player,Active,Rebounding center
NBA,Jalen Duren,C,Sneaky Stud,Active,Young rebounding big
NBA,Walker Kessler,C,Sneaky Stud,Active,Elite block-rate big
NBA,Patrick Beverley,PG,Role Player,Retired,Defensive pest guard
NBA,PJ Tucker,PF,Role Player,Retired,3-and-D role forward
NBA,Andre Iguodala,SF,Role Player,Retired,Playmaking defensive wing
NBA,Shane Battier,SF,Role Player,Retired,Analytics-era 3-and-D wing
NBA,Bruce Bowen,SF,Role Player,Retired,Defensive specialist
NBA,Robert Horry,PF,Role Player,Retired,Clutch role-player archetype
NBA,Tony Allen,SG,Role Player,Retired,Defensive stopper guard
NBA,JJ Redick,SG,Role Player,Retired,Movement 3P specialist
NBA,Kyle Korver,SF,Role Player,Retired,Elite catch-and-shoot specialist
NBA,Danny Green,SG,Role Player,Retired,3-and-D role wing
NBA,Trevor Ariza,SF,Role Player,Retired,3-and-D wing
NBA,Steven Adams,C,Role Player,Active,Offensive rebounding specialist
NBA,JaVale McGee,C,Role Player,Retired,Lob-finishing big
NBA,Montrezl Harrell,C,Role Player,Active,Energy scoring big
NBA,Taj Gibson,PF,Role Player,Retired,Defensive role big
NBA,Derrick Favors,PF,Role Player,Retired,Rebounding role big
NBA,Marcus Morris,PF,Role Player,Active,Scoring role forward
NBA,Dwight Powell,C,Role Player,Active,Rolling big role player
NBA,Grant Hill,SF,Stud,Retired,All-around wing before injuries
NBA,Baron Davis,PG,Sneaky Stud,Retired,Explosive scoring guard
NBA,Stephon Marbury,PG,Sneaky Stud,Retired,Volume scoring guard
NBA,Vin Baker,PF,Sneaky Stud,Retired,Early-career stat-stuffer
NBA,Shawn Marion,SF,Sneaky Stud,Retired,Stat-stuffing athletic wing
NBA,Antawn Jamison,PF,Sneaky Stud,Retired,Volume scoring forward
NBA,Elton Brand,PF,Sneaky Stud,Retired,Efficient scoring big
NBA,Jermaine O'Neal,C,Sneaky Stud,Retired,Shot-blocking scoring big
NBA,Ben Wallace,C,Role Player,Retired,Elite rebounding/defense low scoring
NBA,Marcus Camby,C,Role Player,Retired,Shot-blocking specialist
NBA,Theo Ratliff,C,Role Player,Retired,Shot-blocking specialist
NBA,Manute Bol,C,Role Player,Retired,Extreme height block specialist
NBA,Muggsy Bogues,PG,Role Player,Retired,Shortest-ever assist specialist
NBA,Dikembe Mutombo,C,Sneaky Stud,Retired,Elite shot-blocking anchor
NBA,Larry Nance Jr,PF,Role Player,Active,Energy rebounding forward
NBA,Naz Reid,C,Role Player,Active,Efficient bench scoring big
NBA,Bobby Portis,PF,Role Player,Active,Energy scoring/rebounding forward
NBA,Kelly Olynyk,C,Role Player,Active,Stretch-big passer
NBA,Kevin Love,PF,Sneaky Stud,Active,Stat-stuffing stretch big
NBA,DeMarcus Cousins,C,Sneaky Stud,Active,Stat-stuffing scoring big
NBA,Andre Drummond,C,Role Player,Active,Elite offensive-rebounding specialist
NBA,Marc Gasol,C,Sneaky Stud,Retired,Passing/defense stat-stuffing big
NBA,Pau Gasol,PF,Sneaky Stud,Retired,Skilled scoring/rebounding big
NBA,Zach Randolph,PF,Sneaky Stud,Retired,Post-scoring rebounding forward
NBA,LaMarcus Aldridge,PF,Sneaky Stud,Retired,Mid-range scoring big
NBA,Amar'e Stoudemire,PF,Sneaky Stud,Retired,Athletic scoring big
NBA,Carmelo Anthony,SF,Stud,Retired,Elite volume scoring forward
NBA,Joe Johnson,SG,Sneaky Stud,Retired,Clutch volume scorer
NBA,Monta Ellis,SG,Sneaky Stud,Retired,High-volume undersized scorer
NBA,Jamal Crawford,SG,Role Player,Retired,Instant-offense bench scorer
NBA,Lou Williams,SG,Role Player,Retired,Elite Sixth Man scorer
NBA,Jordan Clarkson,SG,Role Player,Active,Bench scoring guard
NBA,CJ McCollum,SG,Sneaky Stud,Active,Volume scoring guard
NBA,Bogdan Bogdanovic,SG,Role Player,Active,3P role scorer
NBA,Bojan Bogdanovic,SF,Role Player,Active,Volume scoring wing
NBA,Nicolas Batum,SF,Role Player,Active,3-and-D role wing
NBA,Danilo Gallinari,PF,Role Player,Active,Stretch-scoring forward
NBA,Wendell Carter Jr,C,Role Player,Active,Rebounding/passing big
NBA,Jonas Valanciunas,C,Role Player,Active,Rebounding scoring big
NBA,Deandre Ayton,C,Sneaky Stud,Active,Efficient scoring big
NBA,Myles Turner,C,Sneaky Stud,Active,Shot-blocking stretch big
NBA,Jaren Jackson Jr,PF,Stud,Active,Elite shot-blocking scoring big
NBA,Anfernee Simons,SG,Sneaky Stud,Active,Volume scoring guard
NBA,RJ Barrett,SG,Role Player,Active,Volume scoring wing
NBA,Jalen Green,SG,Sneaky Stud,Active,Athletic scoring guard
NBA,Keegan Murray,SF,Role Player,Active,3-and-D scoring forward
NBA,Chet Holmgren,C,Stud,Active,Stretch shot-blocking big
NBA,Jabari Smith Jr,PF,Role Player,Active,Stretch-scoring forward
NFL,Tom Brady,QB,Stud,Retired,All-time passing volume/wins
NFL,Peyton Manning,QB,Stud,Retired,Efficient high-volume passer
NFL,Joe Montana,QB,Stud,Retired,Clutch efficient passer
NFL,Jerry Rice,WR,Stud,Retired,All-time receiving yardage
NFL,Walter Payton,RB,Stud,Retired,Volume/efficiency rusher
NFL,Barry Sanders,RB,Stud,Retired,Elite yards-per-carry rusher
NFL,Emmitt Smith,RB,Stud,Retired,All-time rushing yardage
NFL,Lawrence Taylor,LB,Stud,Retired,Elite pass-rushing linebacker
NFL,Reggie White,DE,Stud,Retired,Elite sack specialist
NFL,Deion Sanders,CB,Stud,Retired,Shutdown coverage corner
NFL,Brett Favre,QB,Stud,Retired,Gunslinger volume passer
NFL,John Elway,QB,Stud,Retired,Elite arm-talent passer
NFL,Dan Marino,QB,Stud,Retired,Pure passing volume record-holder
NFL,Terrell Owens,WR,Stud,Retired,Volume/TD receiver
NFL,Randy Moss,WR,Stud,Retired,Elite deep-threat receiver
NFL,Marshall Faulk,RB,Stud,Retired,Dual-threat rushing/receiving back
NFL,LaDainian Tomlinson,RB,Stud,Retired,Elite TD-scoring back
NFL,Adrian Peterson,RB,Stud,Retired,Elite yards-per-carry power back
NFL,Ray Lewis,LB,Stud,Retired,Tackle-leading defensive anchor
NFL,Troy Polamalu,S,Stud,Retired,Playmaking free safety
NFL,Ed Reed,S,Stud,Retired,Elite interception safety
NFL,Champ Bailey,CB,Stud,Retired,Shutdown corner
NFL,Darrell Green,CB,Sneaky Stud,Retired,Longevity elite corner
NFL,Bruce Smith,DE,Stud,Retired,All-time sack leader
NFL,Junior Seau,LB,Stud,Retired,Tackle-machine linebacker
NFL,Michael Strahan,DE,Stud,Retired,Single-season sack record
NFL,Jason Taylor,DE,Sneaky Stud,Retired,Elite pass-rush specialist
NFL,Warren Sapp,DT,Stud,Retired,Interior pass-rush anomaly
NFL,Aaron Donald,DT,Stud,Retired,Dominant interior pass-rusher
NFL,J.J. Watt,DE,Stud,Retired,Elite sack/tackle-for-loss lineman
NFL,Von Miller,LB,Stud,Active,Elite pass-rush specialist
NFL,Calvin Johnson,WR,Stud,Retired,Peak yardage-per-season outlier
NFL,Larry Fitzgerald,WR,Stud,Retired,Volume possession receiver
NFL,Andre Johnson,WR,Sneaky Stud,Retired,Volume possession receiver
NFL,Marvin Harrison,WR,Stud,Retired,Efficient volume receiver
NFL,Cris Carter,WR,Sneaky Stud,Retired,Red-zone TD specialist
NFL,Tim Brown,WR,Sneaky Stud,Retired,Longevity possession receiver
NFL,Steve Largent,WR,Sneaky Stud,Retired,Early-era efficiency receiver
NFL,Michael Irvin,WR,Sneaky Stud,Retired,Volume possession receiver
NFL,Isaac Bruce,WR,Sneaky Stud,Retired,Deep-threat volume receiver
NFL,Torry Holt,WR,Sneaky Stud,Retired,Volume yardage receiver
NFL,Tony Gonzalez,TE,Stud,Retired,All-time TE receiving numbers
NFL,Antonio Gates,TE,Sneaky Stud,Retired,Undrafted-to-elite TE
NFL,Rob Gronkowski,TE,Stud,Retired,Dominant TD-scoring TE
NFL,Shannon Sharpe,TE,Sneaky Stud,Retired,Pass-catching TE pioneer
NFL,Jason Witten,TE,Sneaky Stud,Retired,Volume possession TE
NFL,Drew Brees,QB,Stud,Retired,All-time completion/yardage volume
NFL,Aaron Rodgers,QB,Stud,Active,Elite TD-to-INT efficiency
NFL,Ben Roethlisberger,QB,Stud,Retired,Volume gunslinger passer
NFL,Philip Rivers,QB,Sneaky Stud,Retired,High-volume efficient passer
NFL,Eli Manning,QB,Sneaky Stud,Retired,Clutch volume passer
NFL,Kurt Warner,QB,Sneaky Stud,Retired,Undrafted-to-elite passer
NFL,Steve Young,QB,Stud,Retired,Elite rushing/passing QB
NFL,Troy Aikman,QB,Sneaky Stud,Retired,Efficient winning passer
NFL,Fran Tarkenton,QB,Sneaky Stud,Retired,Early-era scrambling passer
NFL,Roger Staubach,QB,Sneaky Stud,Retired,Clutch efficient passer
NFL,Patrick Mahomes,QB,Stud,Active,Elite scoring/passing efficiency
NFL,Josh Allen,QB,Stud,Active,Dual-threat scoring QB
NFL,Justin Herbert,QB,Stud,Active,Elite arm-talent passer
NFL,Joe Burrow,QB,Stud,Active,Efficient high-volume passer
NFL,Lamar Jackson,QB,Stud,Active,Elite rushing QB outlier
NFL,Jalen Hurts,QB,Stud,Active,Dual-threat TD-scoring QB
NFL,Dak Prescott,QB,Stud,Active,Volume efficient passer
NFL,Christian McCaffrey,RB,Stud,Active,Dual-threat rushing/receiving back
NFL,Derrick Henry,RB,Stud,Active,Power volume rusher
NFL,Saquon Barkley,RB,Stud,Active,Explosive dual-threat back
NFL,Nick Chubb,RB,Sneaky Stud,Active,Elite yards-per-carry back
NFL,Alvin Kamara,RB,Sneaky Stud,Active,Dual-threat scoring back
NFL,Ezekiel Elliott,RB,Sneaky Stud,Active,Volume workhorse back
NFL,Jonathan Taylor,RB,Stud,Active,Elite TD-scoring back
NFL,Bijan Robinson,RB,Stud,Active,Explosive dual-threat back
NFL,Justin Jefferson,WR,Stud,Active,Elite yardage receiver
NFL,Ja'Marr Chase,WR,Stud,Active,Elite volume/TD receiver
NFL,Tyreek Hill,WR,Stud,Active,Elite speed/yardage receiver
NFL,CeeDee Lamb,WR,Stud,Active,Volume possession receiver
NFL,Davante Adams,WR,Stud,Active,Elite route-runner receiver
NFL,Stefon Diggs,WR,Sneaky Stud,Active,Volume possession receiver
NFL,DeAndre Hopkins,WR,Sneaky Stud,Active,Contested-catch specialist
NFL,A.J. Brown,WR,Stud,Active,Yards-per-catch outlier
NFL,Amon-Ra St. Brown,WR,Sneaky Stud,Active,High-target-share receiver
NFL,Puka Nacua,WR,Sneaky Stud,Active,Rookie-record volume receiver
NFL,Travis Kelce,TE,Stud,Active,Elite volume receiving TE
NFL,George Kittle,TE,Sneaky Stud,Active,Blocking/receiving dual-threat TE
NFL,Mark Andrews,TE,Sneaky Stud,Active,Red-zone TE specialist
NFL,T.J. Watt,LB,Stud,Active,Elite sack specialist
NFL,Myles Garrett,DE,Stud,Active,Elite pass-rush specialist
NFL,Nick Bosa,DE,Stud,Active,Elite sack producer
NFL,Micah Parsons,LB,Stud,Active,Versatile pass-rush linebacker
NFL,Aidan Hutchinson,DE,Sneaky Stud,Active,Young pass-rush specialist
NFL,Trevon Diggs,CB,Sneaky Stud,Active,High-volume interception corner
NFL,Sauce Gardner,CB,Stud,Active,Shutdown young corner
NFL,Jalen Ramsey,CB,Stud,Active,Shutdown versatile corner
NFL,Patrick Surtain II,CB,Stud,Active,Shutdown coverage corner
NFL,Fred Warner,LB,Sneaky Stud,Active,Tackle-leading linebacker
NFL,Roquan Smith,LB,Sneaky Stud,Active,Tackle-leading linebacker
NFL,Tyler Lockett,WR,Role Player,Active,Efficient possession receiver
NFL,DK Metcalf,WR,Sneaky Stud,Active,Size-speed outlier receiver
NFL,Terry McLaurin,WR,Sneaky Stud,Active,Consistent volume receiver
NFL,Chris Godwin,WR,Role Player,Active,Slot possession receiver
NFL,Mike Evans,WR,Stud,Active,Consecutive 1000-yard streak receiver
NFL,Keenan Allen,WR,Sneaky Stud,Active,Route-running possession receiver
NFL,DeVonta Smith,WR,Sneaky Stud,Active,Efficient possession receiver
NFL,Brandon Aiyuk,WR,Sneaky Stud,Active,Big-play possession receiver
NFL,Jaylen Waddle,WR,Sneaky Stud,Active,Speed-threat receiver
NFL,James Cook,RB,Role Player,Active,Efficient rotational back
NFL,Rachaad White,RB,Role Player,Active,Dual-threat rotational back
NFL,Kenneth Walker III,RB,Sneaky Stud,Active,Efficient young back
NFL,Isiah Pacheco,RB,Role Player,Active,Physical rotational back
NFL,Tony Pollard,RB,Role Player,Active,Change-of-pace back
NFL,Josh Jacobs,RB,Sneaky Stud,Active,Volume workhorse back
NFL,Rhamondre Stevenson,RB,Role Player,Active,Dual-threat rotational back
NFL,David Montgomery,RB,Role Player,Active,Volume goal-line back
NFL,Javonte Williams,RB,Role Player,Active,Rotational back
NFL,Breece Hall,RB,Sneaky Stud,Active,Explosive young back
NFL,De'Von Achane,RB,Sneaky Stud,Active,Elite yards-per-touch back
NFL,Kyle Juszczyk,FB,Role Player,Active,Pass-catching fullback
NFL,James White,RB,Role Player,Retired,Receiving-specialist back
NFL,Danny Amendola,WR,Role Player,Retired,Slot possession receiver
NFL,Julian Edelman,WR,Sneaky Stud,Retired,Undersized volume slot receiver
NFL,Wes Welker,WR,Sneaky Stud,Retired,Elite slot-receiver volume
NFL,Cole Beasley,WR,Role Player,Retired,Slot possession receiver
NFL,Jason Peters,OT,Role Player,Retired,Longevity offensive tackle
NFL,Zack Martin,OG,Sneaky Stud,Active,Elite run-blocking guard
NFL,Quenton Nelson,OG,Sneaky Stud,Active,Elite pass-protection guard
NFL,David Bakhtiari,OT,Role Player,Active,Elite pass-protection tackle
NFL,Jason Kelce,C,Sneaky Stud,Retired,Elite run-blocking center
NFL,Cameron Heyward,DT,Sneaky Stud,Active,Interior pass-rush anchor
NFL,Calais Campbell,DE,Role Player,Active,Longevity pass-rush lineman
NFL,Chandler Jones,DE,Sneaky Stud,Active,Elite sack producer
NFL,Khalil Mack,LB,Stud,Active,Elite dual-threat pass-rusher
NFL,DeMarcus Lawrence,DE,Role Player,Active,Consistent pass-rush lineman
NFL,Brian Burns,DE,Sneaky Stud,Active,Young pass-rush specialist
NFL,Haason Reddick,LB,Sneaky Stud,Active,Sack-specialist linebacker
NFL,Matt Judon,LB,Role Player,Active,Consistent sack producer
NFL,Bobby Wagner,LB,Sneaky Stud,Active,Tackle-machine linebacker
NFL,Luke Kuechly,LB,Stud,Retired,Elite tackle-producing linebacker
NFL,Patrick Willis,LB,Stud,Retired,Elite early-career tackler
NFL,NaVorro Bowman,LB,Sneaky Stud,Retired,Tackle-leading linebacker
NFL,Zach Cunningham,LB,Role Player,Active,Tackle-volume linebacker
NFL,Lavonte David,LB,Sneaky Stud,Active,Underrated tackle producer
NFL,Devin White,LB,Role Player,Active,Sideline-to-sideline linebacker
NFL,Foyesade Oluokun,LB,Sneaky Stud,Active,Tackle-volume linebacker
NFL,Justin Tucker,K,Sneaky Stud,Active,Elite accuracy kicker
NFL,Adam Vinatieri,K,Sneaky Stud,Retired,Clutch longevity kicker
NFL,Shane Lechler,P,Role Player,Retired,Elite punting specialist
NFL,Xavien Howard,CB,Role Player,Active,Interception-volume corner
NFL,Marlon Humphrey,CB,Sneaky Stud,Active,Versatile shutdown corner
NFL,Derwin James,S,Sneaky Stud,Active,Do-everything safety
NFL,Minkah Fitzpatrick,S,Sneaky Stud,Active,Ball-hawking safety
NFL,Budda Baker,S,Role Player,Active,Tackle-volume safety
NFL,Odell Beckham Jr,WR,Sneaky Stud,Active,Highlight-reel possession receiver
NFL,Antonio Brown,WR,Stud,Retired,Elite volume receiver
NFL,Le'Veon Bell,RB,Sneaky Stud,Retired,Dual-threat workhorse back
NFL,Frank Gore,RB,Sneaky Stud,Retired,Longevity volume rusher
NFL,Marshawn Lynch,RB,Sneaky Stud,Retired,Power volume rusher
NFL,LeSean McCoy,RB,Sneaky Stud,Retired,Elusive dual-threat back
NFL,DeMarco Murray,RB,Role Player,Retired,Single-season volume rusher
NFL,Matt Forte,RB,Sneaky Stud,Retired,Dual-threat consistent back
NFL,Jamaal Charles,RB,Sneaky Stud,Retired,Elite yards-per-carry back
NFL,Arian Foster,RB,Sneaky Stud,Retired,Undrafted volume rusher
NFL,Steven Jackson,RB,Role Player,Retired,Volume workhorse back
NFL,Clinton Portis,RB,Sneaky Stud,Retired,Volume TD-scoring back
NFL,Priest Holmes,RB,Sneaky Stud,Retired,Elite TD-scoring back
NFL,Shaun Alexander,RB,Sneaky Stud,Retired,Volume TD-scoring back
NFL,Edgerrin James,RB,Sneaky Stud,Retired,Volume workhorse back
NFL,Jamal Lewis,RB,Role Player,Retired,Power volume rusher
NFL,Corey Dillon,RB,Sneaky Stud,Retired,Power volume rusher
NFL,Ricky Williams,RB,Sneaky Stud,Retired,Volume workhorse back
NFL,Fred Taylor,RB,Role Player,Retired,Efficient volume back
NFL,Warrick Dunn,RB,Role Player,Retired,Dual-threat smaller back
NFL,Curtis Martin,RB,Stud,Retired,Elite career rushing volume
NFL,Thurman Thomas,RB,Sneaky Stud,Retired,Dual-threat workhorse back
NFL,Marcus Allen,RB,Stud,Retired,Elite TD-scoring versatile back
NFL,Eric Dickerson,RB,Stud,Retired,Single-season rushing record
NFL,Jim Brown,RB,Stud,Retired,Elite yards-per-carry legend
NFL,Franco Harris,RB,Sneaky Stud,Retired,Volume playoff-era back
NFL,Tony Dorsett,RB,Sneaky Stud,Retired,Elite yards-per-carry back
NFL,Earl Campbell,RB,Stud,Retired,Power volume rusher
NFL,O.J. Simpson,RB,Stud,Retired,Single-season rushing record
MLB,Babe Ruth,OF,Stud,Retired,Power/average outlier for his era
MLB,Hank Aaron,OF,Stud,Retired,All-time home run volume
MLB,Willie Mays,OF,Stud,Retired,Five-tool stat-stuffer
MLB,Ted Williams,OF,Stud,Retired,Elite career batting average
MLB,Lou Gehrig,1B,Stud,Retired,Power/average stat-stuffer
MLB,Ty Cobb,OF,Stud,Retired,All-time batting average leader
MLB,Barry Bonds,OF,Stud,Retired,Single-season/career HR records
MLB,Mickey Mantle,OF,Stud,Retired,Power/speed switch-hitter
MLB,Stan Musial,OF,Stud,Retired,Consistent volume/average hitter
MLB,Jackie Robinson,2B,Sneaky Stud,Retired,Speed/average infielder
MLB,Cal Ripken Jr,SS,Stud,Retired,Durability/power shortstop
MLB,Derek Jeter,SS,Stud,Retired,Volume hits shortstop
MLB,Nolan Ryan,P,Stud,Retired,All-time strikeout volume
MLB,Sandy Koufax,P,Stud,Retired,Peak dominance short career
MLB,Bob Gibson,P,Stud,Retired,Elite ERA/strikeout pitcher
MLB,Greg Maddux,P,Stud,Retired,Elite control low walk rate
MLB,Randy Johnson,P,Stud,Retired,Elite strikeout-rate pitcher
MLB,Pedro Martinez,P,Stud,Retired,Peak ERA/strikeout outlier
MLB,Roger Clemens,P,Stud,Retired,Volume strikeout pitcher
MLB,Tom Seaver,P,Sneaky Stud,Retired,Consistent strikeout pitcher
MLB,Cy Young,P,Stud,Retired,All-time wins volume
MLB,Walter Johnson,P,Stud,Retired,Early-era strikeout leader
MLB,Christy Mathewson,P,Sneaky Stud,Retired,Elite control-era pitcher
